id,URL,tag,tag_cn,right_tag_cn,othername,describe,describe_cn
13,aisaka_taiga,aisaka_taiga,,逢坂大河,逢坂大河,"逢坂大河 (あいさか たいが)Main character from the anime series Toradora!A tsundere high school student of substantially small stature, with long wavy brown hair and brown eyes. Often carries around a bokken, a type of practice sword.Voiced by (who else?) Kugimiya Rie.",逢坂大河 (あいさか たいが)动漫系列中的主角托拉多拉！一个身材矮小，长着棕色波浪状长发和棕色眼睛的少年高中生。经常随身携带一把练习剑，由（谁？）库吉米娅·里配音。
14,aisha_landar,aisha_landar,,艾尔莎·兰达,アイシャ,"Elsword character, her full name is Aisha Landar. An expert magician who had lost her abilities due to an evil force, so she sets off to relearn what she lost. She's best known for being temperamental and slim figured. Her seiyuu is Kugimiya Rie.Class tree:Magician &gt; High Magician &gt; Elemental Master &gt; Aether SageMagician &gt; Dark Magician &gt; Void Princess &gt; Oz SorcererMagician &gt; Battle Magician &gt; Dimension Witch &gt; Metamorphy",艾尔莎·兰达，她的全名是艾莎·兰达。一个专家魔术师由于邪恶的力量而失去了她的能力，所以她开始重新学习她失去的东西。她以喜怒无常和身材苗条而闻名。她的seyuu是Kugimiya Rie。职业树：魔术师&gt；高级魔术师&gt；元素大师&gt；以太魔术师&gt；黑暗魔术师&gt；虚空公主&gt；奥兹巫师&gt；战斗魔术师&gt；尺寸开关&gt；变质作用
15,akagi_(azur_lane),akagi_(azur_lane),,赤城(碧蓝航线),赤城(碧蓝航线)|赤城(アズールレーン),"Azur Lane's personification of the carrier Akagi (赤城). In the same vein as Kaga, Akagi is portrayed as a nine-tailed kitsune with brown hair and dark red eyes. Her figure is quite vixenous, and her outfit exposes quite a bit of her bust. In the game's storyline, Akagi is portrayed as Kaga's close partner. She displays a violent personality and is infamously yandere for the Commander. In the anime, her obsession turns towards Kaga instead. In both cases, however, she is traumatized by the loss of her elder sister Amagi and is determined to resurrect her from the dead by any means she can, including the use of Siren technology. This leads to her and Kaga becoming the de facto leaders of the Sakura Empire and their war against the nations of the Azur Lane alliance.Skins
Akagi (Deep Crimson Poppy) (Azur Lane)
Akagi (Paradise Amaryllis) (Azur Lane)
Akagi (Plum and Snow) (Azur Lane)
Akagi (Blushing Intoxication) (Azur Lane) 
Related Characters:
Kaga (Azur Lane)
Amagi (Azur Lane)
Akagi-chan (Azur Lane)
Akagi (Muse) (Azur Lane)",蓝色小巷是赤城号航母的化身(赤城). 赤城被描绘成一头棕色头发和深红色眼睛的九尾风筝，与卡加的风格相同。她的身材很性感，她的服装暴露了她的半身像。在游戏的故事情节中，赤城被描绘成卡加的亲密伙伴。她性格暴戾，是臭名昭著的指挥官。在动画片中，她的痴迷转向了卡加。然而，在这两起案件中，她都因失去姐姐阿玛吉而受到创伤，决心用一切可能的手段，包括使用警报器技术，将她从死亡中复活。这导致她和卡加成为樱花帝国和他们的战争对蓝道联盟国家的事实上的领导人
16,akagi_miria,akagi_miria,,赤城米莉亚,赤城みりあ,"An Idolmaster Cinderella Girls character in the Passion (Yellow Sun) category.A young girl who really loves to talk. Possessing boundless energy, a sunny and positive outlook, and enthusiasm for everything she does, Miria became an idol because doing all the cute things seemed fun. She can be pretty mature at times, calling the Producer ""cute"" and asking him to spend time with her on their days off. But when it comes down to it, she's just a curious little girl who dreams of being an idol. Since she's 11, she's still pretty childish and naive, but she does her best at everything idol-related.Her curiosity is quickly used as one of her charm points.Due to her popularity, she was selected for the fourth CINDERELLA MASTER CD series, alongside Abe Nana, Koshimizu Sachiko, Hino Akane, and Nitta Minami. She is voiced by Kurosawa Tomoyo.She is in the unit Decoration with Jougasaki Rika and Moroboshi Kirari and their unit costumes are Pikapikapop in the anime.",一个偶像大师灰姑娘在激情（黄太阳）类的角色。一个真正喜欢说话的年轻女孩。拥有无限的能量，阳光和积极的前景，以及对她所做的每件事的热情，米丽娅成为了偶像，因为做所有可爱的事情似乎都很有趣。她有时会相当成熟，称制作人“可爱”，请他在休息日陪她。但归根结底，她只是一个好奇的小女孩，梦想成为偶像。从11岁开始，她仍然很幼稚，但是她在所有与偶像有关的事情上都做得很好。她的好奇心很快就成为了她的魅力点之一。由于她的受欢迎，她被选为第四届灰姑娘大师CD系列，与安倍娜娜、小泉纯一子、赤野之彦和南部日田并列。她是由黑泽友友配音。她在单位装饰与日崎里香和摩罗博希Kirari和他们的单位服装是皮卡皮卡流行的动画。
17,akali,akali,,阿卡丽,Akali|아칼리|アカリ,"A human Champion from Ionia in League of Legends usually played as an AP assassin in top or mid lane. She is known for her ninja techniques and use of dual kamas.She is a member of the Kinkou, a clan of ninjas dedicated to preserving balance, alongside Shen and Kennen.She received a gameplay and visual redesign in August 1st, 2018.Full title: Akali, the Rogue Assassin",传奇联盟中来自爱奥尼亚的人类冠军，通常在上中巷扮演美联社刺客。她以她的忍者技巧和双卡玛的使用而闻名。她是金口忍者家族的成员，与沈和凯宁一起致力于保持平衡。她在2018年8月1日接受了游戏和视觉重新设计。全名：阿卡利，流氓刺客
18,akashi_(azur_lane),akashi_(azur_lane),,明石|明石(碧蓝航线),明石|明石(アズールレーン),"Azur Lane's personification of Japanese Repair Ship Akashi (明石).In her base art (see post #2895377), she is a cat girl with green very long hair and an ahoge. She has a mole under her yellow eyes. On her neck is a red ribbon, bell choker. She wears a double-breasted white dress, with a sailor collar and sleeves past her wrists, with tools coming out of her wrist. Her rigging is composed of a giant wrench and a mechanical crane.In game, she appears as both an obtainable unit and the premium store owner. Since players must interact with her whenever they wish to purchase the premium currency (gems) with real money, she's portrayed as very greedy in her fanwork.Skins
Akashi (Akashi's in the Red!) (Azur Lane)
Akashi (Black Cat Strikes!) (Azur Lane)
Akashi (Welcome to Sofmap!) (Azur Lane)
Akashi (Welcome to Azurcon!) (Azur Lane)
Akashi (White Cat's Repayment) (Azur Lane)",日本修理船“明石”的天蓝道拟人化(明石).在她的基础艺术中（见post#2895377），她是一个长着绿色长发的猫女。她黄色的眼睛下面有一颗痣。她脖子上系着一条红丝带，戴着铃铛项链。她穿着一件双排扣的白色连衣裙，水手领和袖子穿过手腕，手腕上露出工具。她的索具由一把大扳手和一个机械起重机组成，在游戏中，她既是一个可获得的单位，又是一个高级商店的老板。由于玩家在任何时候都必须与她互动，他们希望用真金白银购买高级货币（宝石），她在她的粉丝作品中被描绘成非常贪婪的人
19,akatsuki_kirika,akatsuki_kirika,,晓切歌,暁切歌,"Character from Senki Zesshou Symphogear. Appears in the second season.Birthday : April 13, 15-year-old ( During ""G"" epilogue)Blood type : O Height : 155cm BWH : 82/56/83",从森基泽寿Symphogear字符。出现在第二季。生日：4月13日，15岁（在“G”结尾）血型：O身高：155cm体重：82/56/83
20,akaza_akari,akaza_akari,,赤座灯里,赤座あかり,"Sometimes nicknamed ""Akarin"", Akari is supposedly the main protagonist of Yuru Yuri. However, as she is an ordinary person and often pales in comparison to the other characters, she is often bantered with her small presence and pushed into the background. Her friends often peg her character as having the ability to turn invisible and fire her 'hair buns' like missiles. Toshinou Kyouko and Funami Yui are her childhood friends, while Yoshikawa Chinatsu, Oomuro Sakurako and Furutani Himawari are some of her classmates.",有时被昵称为“阿卡林”，阿卡里被认为是尤鲁尤里的主角。然而，由于她是一个平凡的人，与其他人物相比常常显得苍白，她常常被戏谑地用自己的小存在和推到后台。她的朋友们经常把她的角色定位为有能力变隐形，像导弹一样发射她的“发髻”。庆子（Toshinou Kyouko）和Yui（Funami Yui）是她儿时的朋友，而中国吉川（Yoshikawa Chinatsu）、樱子（Oomuro Sakurako）和西玛瓦里（Furutani Himawari）是她的一些同学。
21,akemi_homura,akemi_homura,,晓美焰,暁美ほむら|ほむまど|まどほむ|ほむさや|さやほむ|メガほむ|ほむほむ|ほむ杏|杏ほむ|ほむあん|あんほむ|マミほむ|ほむマミ|変態ほむらさん,"A character from Mahou Shoujo Madoka Magica.She has long black hair, purple eyes, and wears a hairband. When transformed into her magical form, she wears a capelet, a pleated skirt, high heeled boots with argyle patterns that cover the entire legs, and sometimes also has a shield on her lower left arm. She primarily uses mundane weapons such as guns and bombs. Her shield acts like a seemingly infinite portable storage space for her weapons, and also allows her to manipulate and travel through time.",一个来自Mahou Shoujo Madoka Magica的角色。她长着黑色的长发，紫色的眼睛，戴着发带。当她变成魔法形态时，她穿着披风、百褶裙、饰有菱形花纹的高跟靴，整个腿都被遮住了，有时她的左下臂上还戴着一个盾牌。她主要使用枪支和炸弹等普通武器。她的盾牌看起来像是一个无限的便携式武器储存空间，也允许她操纵和穿越时间。
22,aki_(girls_und_panzer),aki_(girls_und_panzer),,小秋(少女与战车),アキ|アキ(GuP)|継続高校|ミカアキ|楽しい継続一家,,
23,aki_minoriko,aki_minoriko,,秋穰子,秋穣子,"A Touhou character, the Stage 1 boss of Mountain of Faith. Goddess of the harvest. Younger sister of Shizuha.Wears a hat with grapes on it and considered the curvier of the two sisters due to being a goddess of harvest.",一个土厚的人物，第一阶段的信仰山老板。收获女神。石祖哈的妹妹，头戴葡萄帽，因是丰收女神而被视为两姐妹中的曲线女神。
24,aki_shizuha,aki_shizuha,,秋静叶,秋静葉,"A Touhou character, the Stage 1 mid-boss of Mountain of Faith. Goddess of falling autumn leaves. Elder sister of Minoriko.Wears leaves in her hair.",一个土厚的人物，第一阶段中的信仰山老板。秋叶女神。美能子的姐姐。头发上戴着叶子。
25,akita_neru,akita_neru,,亚北音留,亞北ネル,"Akita Neru (亞北ネル)Akita Neru is a Vocaloid Derivative. (Akita. Neru), in phonetic reading, sounds like ""I quit. Going to sleep.""She started out as a meme on 2channel, where a troll user started threadcrapping all Vocaloid related threads. Some user commented that he wouldn't get angry only if the troll was a cute girl. For more detail, see her Vocaloid Wikia and KnowYourMeme. Thus Akita Neru, a tsundere non-Vocaloid net-chara was born. Her image color is orange-ish yellow and her character item is a cell phone. Her design was created by Smith Hioka (スミス･ヒオカ).Neru is sometimes written as a Miku wannabe, others as the anti-hero of the Vocaloid personage.",秋田内鲁(亞北ネル)秋田内鲁是一个单倍体衍生物(秋田。尼禄），在语音阅读中，听起来像“我退出了。她一开始只是2频道的一个迷因，在那里一个巨魔用户开始对所有与人声相关的线程进行线程垃圾处理。一些用户评论说，他不会生气，只有当巨魔是一个可爱的女孩。更多细节，请看她的人声维基和KnowYourMeme。因此秋田内鲁，一个tsundere非人形网字符诞生。她的图像颜色是橙黄色，她的角色是一部手机。她的设计是由Smith Hioka创作的(スミス･ヒオカ).尼禄有时被写为一个米库想，其他人作为反英雄的人声人物。
26,akiyama_mio,akiyama_mio,,秋山澪,秋山澪,"A main character from K-On!The left-handed bassist of the Light Music Club, playing a 3-Color Sunburst Fender Jazz Bass. The extremely shy Mio intended to go to Literary Club, only to be forced by her childhood friend Tainaka Ritsu into joining the band. While often trying to pose a confident exterior, her stage fright (ironically, she is also a vocalist in the event Hirasawa Yui can't sing) and phobia of anything disturbing makes her the target of Ritsu's pranks.",K-On的主角！轻音乐俱乐部的左撇子贝司手，演奏一支三色的Sunburst爵士乐贝司。极度害羞的米欧打算去文学俱乐部，结果被儿时的朋友田中日久强迫加入乐队。虽然经常试图摆出一副自信的外表，但她的怯场（讽刺的是，她也是平川佑一不会唱歌的歌手）和对任何令人不安的事情的恐惧使她成为丽珠恶作剧的目标。
27,akiyama_yukari,akiyama_yukari,,秋山优花里,秋山優花里|あんこうチーム|みほゆか|ケイゆか|まほゆか|ゆかエリ|忠犬ユカ公|秋山殿|オッドボール三等軍曹|グデエル,,
28,akizuki_ritsuko,akizuki_ritsuko,,秋月律子,秋月律子|あきづきりつこ,"One of the main characters of the Idolmaster series.A smart, cool 18-year-old who was originally an intern for 765 Production, but later promoted to idol due to lack of idols scouted. Industrious and focused, Ritsuko also handles the business side of her career. She hopes to become a producer herself, and in some games, actually is one.She is serious as an idol as well, almost always wearing her glasses. Her hair is often tied into twin braids, though her hairstyle variations increased. Her cousin Ryou appears in the DS game Dearly Stars as an idol of 876 Production (and later in Side-M).She is voiced by Wakabayashi Naomi.
Age: 18 → 19
Height: 156cm
Weight: 43 kg
Birthday: June 23rd
Blood type: A
Three sizes: 85-57-85
Hobbies: Qualifications, Logic, Volunteering
Skills: Analyzing Paperwork
Writing Hand: Right
Horoscope: Cancer
Hometown: Tokyo
Type: Cool (Cinderella Girls)Visual / Fairy (Million Live)",偶像大师系列的主角之一。一个聪明、酷的18岁少年，最初是765制作公司的实习生，但后来由于缺少偶像而晋升为偶像。勤勉而专注的Ritsuko还处理着她职业生涯中的商业方面。她希望自己能成为一名制作人，在一些游戏中，她实际上也是一名制作人。她也是一名严肃的偶像，几乎总是戴着眼镜。她的头发经常扎成两个辫子，尽管她的发型变化增加了。她的表妹Ryou在DS游戏《Deary》中出演876制作的偶像（后来又出演Side-M），由Wakabayashi Naomi配音。
29,akizuki_ryou,akizuki_ryou,,秋月凉,秋月涼,"One of the main characters of the Idolmaster series, introduced in the DS game Idolmaster Dearly Stars.Soft-spoken 15-year-old Ryou is an idol from 876 Productions and cousin of 765 Production's intern-turned-idol, Akizuki Ritsuko. Ryou is actually a boy; who, fed up with his lack of a love life and unwanted attention from boys, asked Ritsuko to help turn him into a cool male idol. She then introduced him to 876, only to be dressed up as a girl in a desperate attempt to save a show whose actual performer never showed up in time. He becomes part of the unit Dearly Stars for a time.He appears in Idolmaster Side-M, where he has changed representation from 876 to 315 Productions and now works openly as a male idol, joining the unit F-LAGS. He is also the only boy, let alone a crossdressing one, to make appearances in Idolmaster Cinderella Girls.Ryou's theme color is mint green, and he is voiced by Sanpei Yuuko.",《偶像大师》系列的主要角色之一，在DS游戏《偶像大师》中被介绍为明星。15岁的龙游是876制作公司的偶像，也是765制作公司实习生出身的偶像Akizuki Ritsuko的表弟。你其实是个男孩；他受够了自己缺乏爱情生活和男孩们不必要的关注，请求日子帮助他成为一个酷男偶像。然后她把他介绍给876，结果她把他打扮成一个女孩，不顾一切地试图挽救一个实际表演者从未及时出现的节目。他曾一度成为“亲爱的明星”部门的一员，出演过《偶像大师》Side-M，从876部作品改为315部作品，现在公开担任男偶像，加入了“F-LAGS”部门。他也是唯一一个出演《神像大师灰姑娘》的男孩，更不用说变装男孩了。琉球的主题色是薄荷绿，他的配音是三培佑子。
30,akuma_homura,akuma_homura,,恶魔焰,悪魔ほむら,"An alternate form of Akemi Homura seen in the Mahou Shoujo Madoka Magica Movie.Usually drawn with feathered wings, a black dress with bare shoulders, a choker, argyle thighhighs with high heels and black elbow gloves, in addition to Akemi Homura's usual long black hair and purple eyes. Her hair is usually tied up with a bow.Her familiars are the Clara Dolls.Also known as ""Homucifer"" in reference to Paradise Lost.Do not use just for Akemi Homura in a post-Rebellion scene. Only use if the signature outfit is present.",木村修的另一种形式，见于Mahou Shoujo Madoka Magica电影中。除了木村修通常的黑色长发和紫色眼睛外，木村修通常画有羽毛翅膀、黑色露肩连衣裙、项链、带高跟鞋和黑色肘部手套的菱形长裙。她的头发通常是用蝴蝶结绑起来的。她的熟人是克拉拉娃娃。也被称为“Homucifer”指的是失乐园。不要只用于后叛乱场景中的Akemi Homura。仅在有标志性服装时使用。
31,alastor_(shakugan_no_shana),alastor_(shakugan_no_shana),,天壤劫火·亚拉斯特尔,,"Alastor, ""Flame of Heaven"", is a Crimson God from the Shakugan no Shana media franchise.He acts as a guardian for his contractor, Shana.Under Shana's contract, Alastor typically appears as a glowing, black and red pendant around her neck, the Cocytus.His true form is a winged minotaur.",阿拉斯托，“天堂之火”，是一个来自沙库甘-诺沙纳媒体专营权的深红色神。他是他的承包商沙娜的守护者。根据沙娜的合同，阿拉斯托通常出现在她的脖子上发光，黑色和红色的吊坠，科克图斯。他的真正形式是一个有翅膀的牛头怪。
32,alena_(dq4),alena_(dq4),,安莉娜公主(勇者斗恶龙4),アリーナ|アリーナ姫,"One of the main characters in Dragon Quest IV. Also known as Arena or Alina. Primarily a martial artist, using claws like the Fighter of Dragon Quest III, she is the princess of Santohaim (localized as Santeem in the NES version and Zamoksva in the Nintendo DS remake). Alena is easily recognizable by her long curly red hair (sometimes drawn orange or brown), cape, and distinctive hat. In the DS remake, she has a Russian accent.",龙之旅四中的主要人物之一。也被称为竞技场或阿里娜。主要是一个武术家，使用爪子像龙之旅III的战士，她是桑托海姆的公主（在NES版本中本地化为桑蒂姆，在任天堂DS翻拍中本地化为扎莫克斯娃）。阿莱娜的长卷曲的红色头发（有时画成橙色或棕色）、斗篷和与众不同的帽子很容易辨认出来。在DS翻拍中，她有俄罗斯口音。
33,alice_cartelet,alice_cartelet,,爱丽丝·卡塔雷特,アリス・カータレット,A character in Kin-Iro Mosaic.She's a short British girl with blue eyes and wavy blonde twintails.,金罗马赛克中的一个角色。她是一个矮个子英国女孩，蓝眼睛，卷曲的金色双生尾巴。
34,alice_margatroid,alice_margatroid,,爱丽丝·玛格特罗依德,アリス・マーガトロイド|アリス·マーガトロイド|マリアリ|アリマリ|爱丽丝·玛格特罗依德,"The ""Seven-Colored Puppeteer"".Touhou character. Stage 3 and Extra Stage boss of Mystic Square and later a recurring playable character. One of the few PC-98 era characters (along with Reimu and Marisa) to reappear in the Windows-era games. She first appeared in her current design as the Stage 3 boss of Perfect Cherry Blossom.In the Windows era games, she has blue eyes and short blonde hair worn with a red lolita hairband. She wears a blue dress with puffy short sleeves, a white capelet, and a frilled red ascot. She is often accompanied by her dolls, Shanghai Doll, Hourai Doll, or Goliath Doll.In the PC-98 era games, she appears younger and has a blue hair bow.A human-turned-youkai witch who specializes in manipulating dolls and using them to attack her enemies. Unlike Marisa, her neighbor in the Forest of Magic, Alice is not only rather aloof, but also somewhat cowardly at heart, refusing to use her full power for any reason because she would not know how to deal with losing. This nature leads to doujinshi portraying her as having some tendencies of being tsundere towards her human neighbor. Speculated to be the daughter of Shinki. Bearer of the Grimoire of Alice.",“七彩木偶师”。头后字。第三阶段和神秘广场的额外阶段老板，后来一个反复出现的可玩的角色。为数不多的出现在Windows时代游戏中的PC-98时代人物之一（还有灵梦和玛丽莎）。她第一次出现在她目前的设计中是作为完美樱花的第三阶段老板。在Windows时代的游戏中，她有着蓝色的眼睛和金色的短发，戴着红色的洛丽塔发带。她穿着一件蓝色连衣裙，短袖蓬松，白色披风，红色褶边上衣。她经常有洋娃娃陪伴，上海洋娃娃，豪莱洋娃娃，或歌利亚洋娃娃。在PC-98时代的游戏中，她显得更年轻，有一个蓝色的头发弓。一个人类变成的尤凯女巫，专门操纵洋娃娃，并利用它们攻击她的敌人。与魔法森林里的邻居玛丽莎不同，爱丽丝不仅相当孤僻，而且内心也有些怯懦，因为不知道如何应对失败，她以任何理由拒绝动用自己的全部权力。这种天性导致窦金石把她描绘成对人类邻居有着某种倾向的人。推测是新基的女儿。艾丽丝的灰姑娘。
35,alice_margatroid_(pc-98),alice_margatroid_(pc-98),,爱丽丝·玛格特罗依德(PC-98),ロリス|ロリアリ|旧作アリス|アリロリ,"The Touhou PC-98 version of Alice Margatroid as she appeared in Mystic Square. This version of Alice is younger and has a blue hair bow.Her connection with Shinki is typically assumed by fans to be a mother-daughter relationship.A popular nickname for Young Alice is Lolice, as in ""Loli Alice.""",爱丽丝·玛格丽特出现在神秘广场时的头像PC-98版。这个版本的爱丽丝是年轻的，有一个蓝色的头发蝴蝶结。她与新基的联系通常被球迷认为是母女关系。年轻爱丽丝的一个流行昵称是棒棒糖，如“萝莉爱丽丝”
36,alisa_(girls_und_panzer),alisa_(girls_und_panzer),,亚理纱（少女与战车）,アリサ|アリサ(GuP)|サンダース大学付属高校|ナオアリ,,
37,alisa_ilinichina_amiella,alisa_ilinichina_amiella,,亚莉莎·伊莉妮提娜·阿米耶拉,アリサ・イリーニチナ・アミエーラ,Major character and poster girl from the God Eater series.,食神系列的主要角色和海报女郎。
